id,loss
4,1534.3712
6,1900.115
9,8420.261
12,5758.2925
15,784.54114
17,2229.9993
21,2131.8804
28,838.3823
32,2420.3276
43,3208.35
46,2853.0933
50,969.2573
54,1168.986
62,2023.3098
70,2293.2383
71,4678.829
75,2318.2915
77,2297.6648
81,2662.3513
83,2322.551
87,1954.5164
97,1501.9012
103,1198.5453
119,1266.5444
120,1889.3394
127,1047.3672
138,3988.0942
141,3763.4841
148,761.7196
150,2583.8657
151,2051.723
158,1557.1592
160,5625.594
165,2406.177
168,3854.729
169,3569.959
177,2670.5962
178,3230.355
184,2021.9353
194,10044.274
198,1738.3622
203,3503.2908
211,2560.274
217,1228.6305
219,1506.4641
221,4190.27
227,1706.0399
230,1548.3993
235,2019.2129
240,658.05914
243,2764.2139
249,7635.6587
253,2528.3447
258,1475.5852
261,1642.7484
263,3722.8748
264,2447.1501
265,4097.683
268,1863.6335
271,1052.2852
274,5533.2534
275,726.0523
279,1539.8589
282,1534.1678
286,3126.1206
288,1176.2878
294,2237.2878
296,981.0714
297,1399.4845
300,801.72437
303,8216.43
314,1066.8207
315,4462.769
321,2514.8506
323,3852.6375
330,3872.948
341,1749.9288
342,3786.8213
352,1609.4128
353,3899.0166
360,4455.487
361,2283.3015
362,4324.7534
366,1352.0405
372,3311.439
376,2681.0798
377,2091.971
379,1480.2529
380,3870.1602
387,1784.8259
392,1931.5947
394,9127.571
395,1482.8701
397,1516.8721
407,5901.9575
411,9282.531
416,2666.907
417,1431.9299
419,3794.9014
428,5186.1553
431,1827.44
436,8831.518
438,1595.2677
445,7104.5283
446,7050.83
455,1229.3193
456,1306.3536
461,942.0491
463,1938.8123
464,3562.6533
466,1757.052
467,1438.0156
470,1223.7292
475,1467.2972
482,2954.2686
490,3455.071
496,1764.6864
497,4334.836
508,2877.8108
510,1885.6396
512,1716.8076
513,3168.587
523,1735.9329
531,4308.996
532,2387.9644
533,1312.1708
537,1196.2717
544,4755.4185
547,2858.184
556,8108.5205
565,1316.2394
566,1286.3633
571,1391.7892
573,1561.4409
574,918.073
581,2074.293
585,2090.8367
589,1984.5156
597,1674.581
601,3687.739
602,1763.0879
613,1627.9076
616,1533.952
619,2095.4172
622,2140.0886
623,1844.7809
629,1583.283
634,1531.3958
638,1005.4197
642,1039.9882
643,2006.1995
645,1013.9994
648,6600.8335
652,1324.8093
664,1119.6553
666,2147.3384
672,878.3375
676,2294.65
678,4000.378
682,1911.242
686,3351.6855
688,2117.3032
689,1252.4386
690,1817.2499
692,11921.484
695,1677.6522
697,4288.094
698,2171.2659
706,2744.1643
708,1594.3708
712,2578.1013
715,4594.1426
717,1362.0548
725,3217.998
729,1172.1093
737,1396.2273
739,5574.105
747,3353.7014
753,2649.6577
758,2488.742
759,2241.0132
763,1510.9568
773,4042.521
774,2092.8389
776,1457.1115
788,3402.2224
790,2739.0867
794,1088.8335
801,2846.3457
802,1440.6398
805,1411.3845
809,5173.103
812,1675.6182
825,2381.8003
828,2187.513
830,1458.5258
833,1124.8102
850,7006.1523
852,6167.6304
862,1502.4775
863,1359.9825
864,1448.1752
865,3501.7336
868,7033.839
872,1318.9777
879,5368.897
880,1480.8972
883,1425.2646
886,1346.3834
923,1791.5931
924,1473.3097
932,1294.1929
945,5507.972
947,6508.6655
948,2149.1748
955,3040.558
963,4140.2515
979,1519.7776
989,1461.792
994,3021.8965
995,1745.0944
998,1355.7341
1000,3875.9634
1018,1567.9791
1019,1801.917
1028,1584.5879
1034,1428.55
1038,1522.9779
1040,1317.4668
1042,1337.4246
1057,7021.432
1058,2196.3718
1063,1066.8895
1066,4359.889
1071,4040.0576
